2026-06-27 16:08:08.826 | INFO     | __main__:_process_file:83 - Processing experimental-data/minus-docs/kilo/kilo.c
[mutation testing] 19/19 done (killed=0 survived=19 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorMoveCursor; now running mutation testing on 61 mutants across up to 32 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/61 done (killed=1 survived=0 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/61 done (killed=2 survived=0 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/61 done (killed=3 survived=0 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/61 done (killed=3 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/61 done (killed=3 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/61 done (killed=4 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/61 done (killed=5 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/61 done (killed=6 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/61 done (killed=7 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 10/61 done (killed=7 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 11/61 done (killed=8 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 12/61 done (killed=9 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 13/61 done (killed=9 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 14/61 done (killed=10 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 15/61 done (killed=10 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 16/61 done (killed=10 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
